,brand,model,price (eur),engine,year,mileage (kms),fuel,gearbox,location
180,Kia,Ceed,19990,1.4 T-GDi 103kW (140CV) Tech,2018,28096,Gasolina,Manual,Gavá
181,Toyota,Verso,14990,1.6D 115D Advance + Pack Style 7pl.,2016,98861,Diésel,Manual,Gavá
182,Dacia,Sandero,9990,Stepway TCE 66kW (90CV) EU6,2016,97756,Gasolina,Manual,Gavá
183,Hyundai,i30,14490,1.6 CRDi 81kW (110CV) Tecno Tech,2017,56294,Diésel,Manual,Esplugas
184,Renault,Megane,17990,Limited TCe 103 kW (140CV) GPF -SS,2020,33375,Gasolina,Automatica,Esplugas
185,Mercedes,Benz Clase A,14990,A 180 CDI BlueEFFICIENCY Urban,2013,90270,Diésel,Automatica,Esplugas
186,Ford,Puma,18990,1.0 EcoBoost 92kW (125cv) ST-Line MHEV,2020,2584,Híbrido,Manual,Esplugas
187,Audi,A1,15290,1.0 TFSI 95CV S tronic Attracted,2015,111793,Gasolina,Automatica,Esplugas
188,Fiat,500,10990,Mirror 1.2 8v 51KW (69 CV),2018,58000,Gasolina,Manual,Granollers
189,Hyundai,Tucson,24990,1.6 GDI 97kW (131CV) N-Line Lite 4X2,2020,8320,Gasolina,Manual,Mataró
190,Nissan,NV200,11280,"5pl. 1.5dCi 66kW (90CV) COMF A/C 15"" Kit",2016,189000,Diésel,Manual,Sabadell 1
191,Volkswagen,Golf,18960,GTD 2.0 TDI 184CV DSG BMT,2016,85000,Diésel,Automatica,Sabadell 1
192,Mercedes,Benz Clase CLA,16980,CLA 180d Urban,2014,144000,Diésel,Manual,Sabadell 1
193,SEAT,Ibiza,12350,SC 1.0 EcoTSI 110cv FR,2016,56000,Gasolina,Manual,Sabadell 1
194,Opel,Astra,10980,1.6 CDTi S/S 100kW (136CV) Dynamic,2016,155000,Diésel,Automatica,Sabadell 1
195,SEAT,Arona,15490,1.0 TSI 70kW (95CV) Style Ecomotive,2017,55630,Gasolina,Manual,Hospitalet
196,Ssangyong,REXTON,12990,200 e-Xdi 4x4 Limited,2013,92311,Diésel,Manual,Hospitalet
197,Renault,Kangoo,10990,Profesional N1 Energy dCi 66kW (90CV) E6,2018,140000,Diésel,Manual,Hospitalet
198,Ford,Tourneo Courier,12490,1.5 TDCi 74kW (100CV) Trend,2018,105000,Diésel,Manual,Badalona
199,Audi,S5,19990,3.0 S5 TFSI quattro S Tronic cabrio,2011,156230,Gasolina,Automatica,Mataró
200,BMW,Serie 5,14490,520d,2013,142121,Diésel,Manual,Esplugas
201,Mitsubishi,Outlander,23990,2.0 PHEV Kaiteki Auto 4WD,2018,77700,Híbrido,Automatica,Sabadell 3
202,Toyota,Verso,9990,120D Comfort 5pl.,2013,135800,Diésel,Manual,Sabadell 3
203,Peugeot,308,10990,SW Allure 1.6 BlueHDI 120,2016,116800,Diésel,Manual,Sabadell 3
204,Mazda,Mazda3,12990,2.2 DE 150 MT Luxury,2016,101300,Diésel,Manual,Sabadell 3
205,Kia,Niro,19490,1.6 GDi Híbrido 104kW (141CV) Drive,2019,42000,Híbrido,Automatica,Sabadell 3
206,Opel,Mokka,10990,1.7 CDTi 4X2 S&S Excellence,2014,90000,Diésel,Manual,Sabadell 3
207,Mercedes,Benz Clase GLK,14990,GLK 220 CDI,2014,173170,Diésel,Manual,Sabadell 3
208,Suzuki,Baleno,10990,1.2 GL 5p,2017,56000,Gasolina,Manual,Sabadell 3
209,SEAT,Exeo,9990,ST 2.0 TDI CR 120 CV Style Ecomotive,2013,112200,Diésel,Manual,Sabadell 3
210,Jeep,Renegade,14490,1.6 E-TORQ 81kW Sport FWD E6,2018,52400,Gasolina,Manual,Sabadell 3
211,Toyota,Yaris,9990,1.3 100 Feel,2017,95200,Gasolina,Manual,Sabadell 3
212,Renault,Megane,15990,Sp. Tourer GT Line En. TCe 97kW (130CV),2017,55603,Gasolina,Manual,Esplugas
213,SEAT,Arona,14990,1.0 TSI 70kW (95CV) Style Ecomotive,2018,43451,Gasolina,Manual,Esplugas
214,Jeep,Compass,20490,1.4 Mair 103kW Limited 4x2,2019,26200,Gasolina,Manual,Esplugas
215,SEAT,Leon,15990,ST 2.0 TDI 150cv DSG-6 St&Sp FR,2014,143065,Diésel,Automatica,Esplugas
216,Peugeot,2008,14990,Allure 1.2 PureTech 81KW (110CV)S&S EAT6,2018,86700,Gasolina,Automatica,Granollers
217,SEAT,Tarraco,25990,1.5 TSI 110kW (150CV) St&Sp Style Plus,2019,25000,Gasolina,Manual,Granollers
218,Mazda,CX-3,16490,2.0 G 89kW (121CV) 2WD Zenith,2018,78600,Gasolina,Manual,Granollers
219,SEAT,Leon,18490,2.0 TDI 110kW (150CV) DSG-6 St&Sp FR,2018,86390,Diésel,Automatica,Sabadell 2
220,SEAT,Ibiza,11990,1.0 EcoTSI 70kW (95CV) Reference,2017,55195,Gasolina,Manual,Sabadell 2
221,Peugeot,208,9490,5P ACCESS 1.2L PureTech 82,2016,68720,Gasolina,Manual,Sabadell 2
222,Renault,Megane,14990,GT Line Energy dCi 96kW (130CV),2018,110150,Diésel,Manual,Sabadell 2
223,BMW,X5,27990,xDrive30d,2016,195000,Diésel,Automatica,Sabadell 2
224,BMW,Serie 4,24990,420d Gran Coupe,2017,94370,Diésel,Automatica,Sabadell 2
225,Opel,Astra,11490,1.6 CDTi 110 CV Selective,2016,103056,Diésel,Manual,Hospitalet
226,Volkswagen,T-Roc,21430,Advance R-Line 1.0 TSI 81kW (110CV),2021,15600,Gasolina,Manual,Sabadell 1
227,Mercedes,Benz Clase C,29950,C 220 d 4MATIC Estate,2018,65700,Diésel,Automatica,Sabadell 1
228,Jeep,Compass,24410,2.0 Mjet 103kW Limited 4x4 ATX,2019,7000,Diésel,Automatica,Sabadell 1
229,Opel,Combo Tour,10930,Tour Selective 1.6CDTI 70kW (95CV) L1 H1,2017,102000,Diésel,Manual,Sabadell 1
230,Mini,Countryman,14470,2.0 Cooper SD,2013,154000,Diésel,Automatica,Sabadell 1
231,Honda,CR-V,16210,1.6 i-DTEC 88kW (120CV) 4x2 Eleg P Nav P,2016,92000,Diésel,Manual,Sabadell 1
232,Jeep,Renegade,16250,1.0G 88kW Sport 4x2,2019,102000,Gasolina,Manual,Sabadell 1
233,Ford,Focus,19990,1.0 Ecoboost 92kW ST-Line Auto SportBr,2019,53400,Gasolina,Automatica,Hospitalet
234,Hyundai,ix35,12990,1.7 CRDi Kosmo Sky 4x2,2014,56800,Diésel,Manual,Badalona
235,Land,Rover Range Rover Evoque,48990,2.0 P250 S AUTO 4WD,2019,33703,Híbrido,Automatica,Gavá
236,BMW,Serie 4,24990,418d Gran Coupe,2017,37197,Diésel,Manual,Gavá
237,BMW,Serie 3,20490,318d,2017,37833,Diésel,Automatica,Gavá
238,Kia,Sportage,13990,1.6 GDi 132CV Emotion 4x2,2016,137000,Gasolina,Manual,Gavá
239,Nissan,JUKE,9990,1.6 NARU EDITION 4X2,2013,123500,Gasolina,Manual,Gavá
240,Hyundai,i30,11490,1.0 TGDI Klass LE,2017,65000,Gasolina,Manual,Badalona
241,Peugeot,208,11990,5P Signature 1.2L PureTech 60KW (82CV),2018,17600,Gasolina,Manual,Badalona
242,Peugeot,208,6990,3P ALLURE 1.2 VTi 82,2012,102762,Gasolina,Manual,Badalona
243,Citroen,C4 Cactus,12990,PureTech 81KW (110CV) S&S EAT6 Shine,2017,24000,Gasolina,Manual,Sabadell 3
